trade,day,work_order_id,var_name,manhours_scaled,max_manhours_scaled,solver_value,contribution_scaled,solver_status
NC-E/I,tuesday,1449033,x_1449033_NC-E/I_tuesday,1,48,0,0,OPTIMAL
NC-E/I,tuesday,1449034,x_1449034_NC-E/I_tuesday,1,48,0,0,OPTIMAL
NC-E/I,tuesday,1449040,x_1449040_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449041,x_1449041_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449045,x_1449045_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449044,x_1449044_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449048,x_1449048_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449049,x_1449049_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449052,x_1449052_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449053,x_1449053_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449056,x_1449056_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449057,x_1449057_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449063,x_1449063_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449061,x_1449061_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1448922,x_1448922_NC-E/I_tuesday,64,48,0,0,OPTIMAL
NC-E/I,tuesday,1448923,x_1448923_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1448928,x_1448928_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1448880,x_1448880_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1448913,x_1448913_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,wednesday,1444880,x_1444880_NC-E/I_wednesday,2,48,0,0,OPTIMAL
NC-E/I,wednesday,1450323,x_1450323_NC-E/I_wednesday,4,48,0,0,OPTIMAL
NC-E/I,wednesday,1450151,x_1450151_NC-E/I_wednesday,12,48,0,0,OPTIMAL
NC-E/I,wednesday,1446253,x_1446253_NC-E/I_wednesday,2,48,0,0,OPTIMAL
NC-E/I,wednesday,1442061,x_1442061_NC-E/I_wednesday,2,48,0,0,OPTIMAL
NC-E/I,wednesday,1441973,x_1441973_NC-E/I_wednesday,2,48,0,0,OPTIMAL
NC-E/I,wednesday,1447453,x_1447453_NC-E/I_wednesday,2,48,1,2,OPTIMAL
NC-E/I,wednesday,1451278,x_1451278_NC-E/I_wednesday,6,48,0,0,OPTIMAL
