work_order_id,trade,day,var_name,solver_value,solver_status
1444880,NC-E/I,friday,x_1444880_NC-E/I_friday,0,OPTIMAL
1444880,NC-E/I,monday,x_1444880_NC-E/I_monday,1,OPTIMAL
1444880,NC-E/I,saturday,x_1444880_NC-E/I_saturday,0,OPTIMAL
1444880,NC-E/I,sunday,x_1444880_NC-E/I_sunday,0,OPTIMAL
1444880,NC-E/I,thursday,x_1444880_NC-E/I_thursday,0,OPTIMAL
1444880,NC-E/I,tuesday,x_1444880_NC-E/I_tuesday,0,OPTIMAL
1444880,NC-E/I,wednesday,x_1444880_NC-E/I_wednesday,0,OPTIMAL
1444954,NC-EQUIPMENT,friday,x_1444954_NC-EQUIPMENT_friday,0,OPTIMAL
1444954,NC-EQUIPMENT,monday,x_1444954_NC-EQUIPMENT_monday,0,OPTIMAL
1444954,NC-EQUIPMENT,thursday,x_1444954_NC-EQUIPMENT_thursday,0,OPTIMAL
